"exec","age_group","sex","comorbidity","covid","binary_patient_type","death","count","obesity","diabetes","hyperten","ckd","cardio","copd","asthma","immuno","hiv"
8,"[ 18 , 24 ]","M",0,0,"H",0,1611,0,0,0,0,0,0,0,0,0
8,"[ 18 , 24 ]","M",1,0,"H",0,306,62,56,64,90,49,2,22,132,17
8,"[ 18 , 24 ]","M",0,1,"H",0,448,0,0,0,0,0,0,0,0,0
8,"[ 18 , 24 ]","M",1,1,"H",0,99,30,16,18,20,28,1,9,35,11
9,"[ 18 , 24 ]","M",0,0,"A",14,197634,0,0,0,0,0,0,0,0,0
9,"[ 18 , 24 ]","M",1,0,"A",9,9992,4238,599,880,346,333,138,3476,423,391
9,"[ 18 , 24 ]","M",0,1,"A",25,103268,0,0,0,0,0,0,0,0,0
9,"[ 18 , 24 ]","M",1,1,"A",10,7015,3264,367,666,160,323,95,2505,185,317
9,"[ 18 , 24 ]","M",0,0,"H",0,1552,0,0,0,0,0,0,0,0,0
9,"[ 18 , 24 ]","M",1,0,"H",0,301,71,45,56,73,56,3,27,130,14
9,"[ 18 , 24 ]","M",0,1,"H",0,468,0,0,0,0,0,0,0,0,0
9,"[ 18 , 24 ]","M",1,1,"H",0,113,35,19,20,24,30,1,16,28,6
10,"[ 18 , 24 ]","M",0,0,"A",19,197736,0,0,0,0,0,0,0,0,0
10,"[ 18 , 24 ]","M",1,0,"A",12,10045,4227,624,865,389,306,132,3520,434,405
10,"[ 18 , 24 ]","M",0,1,"A",26,103028,0,0,0,0,0,0,0,0,0
10,"[ 18 , 24 ]","M",1,1,"A",4,7108,3342,361,686,141,345,103,2471,222,306
10,"[ 18 , 24 ]","M",0,0,"H",0,1620,0,0,0,0,0,0,0,0,0
10,"[ 18 , 24 ]","M",1,0,"H",0,275,63,45,37,60,57,1,22,98,13
10,"[ 18 , 24 ]","M",0,1,"H",0,434,0,0,0,0,0,0,0,0,0
10,"[ 18 , 24 ]","M",1,1,"H",0,97,30,13,27,19,34,3,12,32,8
11,"[ 18 , 24 ]","M",0,0,"A",27,197590,0,0,0,0,0,0,0,0,0
11,"[ 18 , 24 ]","M",1,0,"A",9,10118,4161,618,871,381,359,148,3649,430,365
11,"[ 18 , 24 ]","M",0,1,"A",22,103261,0,0,0,0,0,0,0,0,0
11,"[ 18 , 24 ]","M",1,1,"A",8,6970,3221,363,657,168,336,114,2491,219,282
11,"[ 18 , 24 ]","M",0,0,"H",0,1583,0,0,0,0,0,0,0,0,0
11,"[ 18 , 24 ]","M",1,0,"H",0,285,74,49,53,61,49,1,20,114,8
11,"[ 18 , 24 ]","M",0,1,"H",0,422,0,0,0,0,0,0,0,0,0
11,"[ 18 , 24 ]","M",1,1,"H",0,114,42,20,27,20,34,2,10,38,10
12,"[ 18 , 24 ]","M",0,0,"A",25,197882,0,0,0,0,0,0,0,0,0
12,"[ 18 , 24 ]","M",1,0,"A",10,10076,4258,677,880,339,325,128,3549,396,394
12,"[ 18 , 24 ]","M",0,1,"A",15,103093,0,0,0,0,0,0,0,0,0
12,"[ 18 , 24 ]","M",1,1,"A",3,6931,3187,403,652,160,326,99,2432,214,302
12,"[ 18 , 24 ]","M",0,0,"H",0,1575,0,0,0,0,0,0,0,0,0
12,"[ 18 , 24 ]","M",1,0,"H",0,296,63,55,37,69,34,2,29,126,17
12,"[ 18 , 24 ]","M",0,1,"H",0,407,0,0,0,0,0,0,0,0,0
12,"[ 18 , 24 ]","M",1,1,"H",0,83,30,22,24,17,27,2,10,22,9
13,"[ 18 , 24 ]","M",0,0,"A",22,197900,0,0,0,0,0,0,0,0,0
13,"[ 18 , 24 ]","M",1,0,"A",14,9978,4131,592,880,397,366,127,3504,454,387
13,"[ 18 , 24 ]","M",0,1,"A",24,102957,0,0,0,0,0,0,0,0,0
13,"[ 18 , 24 ]","M",1,1,"A",6,7151,3286,392,711,203,345,113,2470,230,292
13,"[ 18 , 24 ]","M",0,0,"H",0,1531,0,0,0,0,0,0,0,0,0
13,"[ 18 , 24 ]","M",1,0,"H",0,329,99,62,59,72,69,7,27,119,24
13,"[ 18 , 24 ]","M",0,1,"H",0,392,0,0,0,0,0,0,0,0,0
13,"[ 18 , 24 ]","M",1,1,"H",0,105,32,17,20,30,20,3,11,39,9
14,"[ 18 , 24 ]","M",0,0,"A",29,197862,0,0,0,0,0,0,0,0,0
14,"[ 18 , 24 ]","M",1,0,"A",7,10022,4246,688,837,330,347,142,3441,498,369
14,"[ 18 , 24 ]","M",0,1,"A",28,103011,0,0,0,0,0,0,0,0,0
14,"[ 18 , 24 ]","M",1,1,"A",5,7049,3307,389,645,155,303,110,2499,195,306
14,"[ 18 , 24 ]","M",0,0,"H",0,1570,0,0,0,0,0,0,0,0,0
14,"[ 18 , 24 ]","M",1,0,"H",0,314,89,45,55,81,67,5,18,129,26
14,"[ 18 , 24 ]","M",0,1,"H",0,428,0,0,0,0,0,0,0,0,0
14,"[ 18 , 24 ]","M",1,1,"H",0,87,33,18,27,23,31,6,14,35,13
15,"[ 18 , 24 ]","M",0,0,"A",22,197891,0,0,0,0,0,0,0,0,0
15,"[ 18 , 24 ]","M",1,0,"A",10,10110,4183,671,881,380,348,131,3577,421,396
15,"[ 18 , 24 ]","M",0,1,"A",21,103021,0,0,0,0,0,0,0,0,0
15,"[ 18 , 24 ]","M",1,1,"A",14,6956,3221,405,706,189,308,107,2409,221,303
15,"[ 18 , 24 ]","M",0,0,"H",0,1561,0,0,0,0,0,0,0,0,0
15,"[ 18 , 24 ]","M",1,0,"H",0,313,79,48,52,73,51,4,20,130,20
15,"[ 18 , 24 ]","M",0,1,"H",0,393,0,0,0,0,0,0,0,0,0
15,"[ 18 , 24 ]","M",1,1,"H",0,98,28,29,24,19,24,2,12,34,8
16,"[ 18 , 24 ]","M",0,0,"A",23,198299,0,0,0,0,0,0,0,0,0
16,"[ 18 , 24 ]","M",1,0,"A",5,10064,4173,640,843,393,364,130,3584,402,367
16,"[ 18 , 24 ]","M",0,1,"A",17,102575,0,0,0,0,0,0,0,0,0
16,"[ 18 , 24 ]","M",1,1,"A",8,7024,3341,384,694,155,327,118,2423,201,304
16,"[ 18 , 24 ]","M",0,0,"H",0,1572,0,0,0,0,0,0,0,0,0
16,"[ 18 , 24 ]","M",1,0,"H",0,288,78,57,42,63,45,5,18,115,14
16,"[ 18 , 24 ]","M",0,1,"H",0,426,0,0,0,0,0,0,0,0,0
